,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10
72,-1.431968592209896,0.1887568472550171,-0.5572244135645238,0.07888276907270603,-1.8752739060875099,0.29091080497513006,-0.919450528935692,0.014804840095151523,3.6849501971864835e-17,4.06443114524515e-17
73,-0.9276545398092595,-1.544161969676893,0.3969202800263148,0.5546838666628529,-0.32096901379514026,-0.5428416280324468,-0.5419441529130736,0.046378239005521724,-3.237678182190157e-17,6.096390980927296e-17
74,-0.8851069353910406,0.09763909318905444,-1.352866602202632,-0.3028298118483978,-0.869658160125131,0.2854221008061068,0.7174365595203531,0.11918221983958202,3.2911569654020283e-17,1.2354668054180432e-17
75,-2.4609911764597663,2.361503460128857,-1.4089101357059388,-0.5002681648580113,-0.2911150905292212,-0.06277126067950933,0.9471870472271376,0.007422784176792475,1.1768213276752412e-17,2.5567543113656517e-17
76,-2.2801675232442555,2.7917290558533536,-1.1001176206876906,-0.4283896888132692,-1.4964206556244573,0.20130119079181386,1.5264670551758097,0.019397318188270046,1.2638308459357396e-16,1.3057605192766426e-17
77,-2.858528630648016,2.1864747296968723,1.739794290817415,-1.6629763618572484,0.025784206828819507,0.7232090106777314,0.08214239940939685,-0.044002650181768806,-1.1860788199886031e-17,3.0696766471091607e-17
78,-1.536202652242046,-0.9788406443619486,-0.41881482650352503,-1.3321365823475877,0.856812262049645,-0.7400636150809509,0.29723585556131377,0.11281077638013984,-1.1350921528503994e-16,5.471566036352828e-17
79,-0.3840839384801638,-1.580897157308024,0.34362085800101233,0.04051358583204013,1.161846144499385,0.12560177222803023,0.4096919142679529,0.12243377607280481,-8.276584467105531e-17,2.3639235578575357e-17
80,-1.3775192039343476,-0.0850753574324504,1.7799298731379494,-1.3261365069562239,-0.5602579469502155,1.0885144666948923,-0.5726404283682741,0.045677068385407554,-8.544300652486844e-18,2.250533519379174e-17
81,-1.5593332870374592,0.027748652876385366,3.2705191871270927,0.7631001408953193,0.302809304299111,0.22619652986585054,-0.008331677628263463,-0.05903423465030312,-5.168050909377405e-18,4.405503941161236e-17
82,-1.3233280923867736,0.15442200988841293,3.076344394932746,0.7078596014969682,0.2227199581134346,0.3332888151210146,0.6482287488092111,-0.024456448054291882,9.585918484268163e-17,2.4973846148135164e-17
83,-0.6576546788543965,-1.2159652953019229,2.681427321981423,-0.3714349885238898,-0.3636597562903195,0.747715767420096,-0.08990086384553118,0.06533842976740804,-5.7919461267424366e-18,2.8669567656520404e-17
84,-1.3671130503296456,-0.49636785144565077,1.4957215582593306,-1.6696639879234854,0.6570029860456092,0.7947399533386634,-0.3080478922937108,0.07755535584210949,-1.4853864120636773e-17,2.0661639549171287e-17
85,-0.569677028202248,-1.718630392068264,0.5791599106990554,-0.019364370889788946,1.259823263243848,-0.011655129330070669,0.03539629079457588,0.10245291571556785,-1.7181404298949146e-16,3.777865722951483e-17
86,-0.6555722654219627,-1.4889826260000987,1.232185039099419,-0.040690831797983926,0.1977451539967666,0.05149089793876809,0.08660269676542715,0.08621187713425696,-9.067132310840859e-17,4.084528915661522e-17
87,-0.7422469369546879,-1.3235119950304677,1.162754582008247,0.0507669103376967,-1.3331646663018903,-0.5717310289618999,0.8400884983372746,0.0991358662184724,3.703789965236797e-17,5.3239598575373025e-17
88,-1.1918724714475224,-0.4019287935518828,1.9673580237882449,0.5555660543700994,2.4297924892968767,0.08376879497782004,0.7145516460976568,0.01638082581135745,-1.0882195770245535e-16,2.4116612625102703e-17
89,-1.2596355268185329,-0.12865067616358652,2.5317947999211303,0.6218760795006169,1.3304400743454408,0.20231088017941415,0.6899043846164232,-0.003616218627277741,-2.819316919144909e-17,2.587963670653836e-17
90,-1.2907641739646112,0.23277855919803567,2.9172469459625807,0.8652475764236357,0.15577834786887854,0.43277561304106515,0.5120017542013852,-0.03120192796132333,5.139726818409624e-17,2.500884085489629e-17
91,-1.575912148934188,-0.8979066009399155,-0.6083563068734031,-1.045700108700049,0.7764165233177169,-0.615807929949113,-0.1941877445936377,0.08765032162515297,-5.610295163986154e-17,5.192659151212433e-17
92,-1.503928290738201,-0.5349104456588957,0.6707956221693472,-1.2576472939911245,0.14376691534173622,0.1839120048672892,-0.35176649046855796,0.06812741065420536,2.7428429911595736e-18,3.6890286393834776e-17
